codigo,información
Incoherencia entre título y descripción del proyecto,Ir al paso 1 y corregir el título o descripción del proyecto ya que no tienen relación.
Titulo no coincide con el acta,"Ir al paso 1 y modificar el título del proyecto, el indicado no coincide con lo reflejado en el acta de asamblea."
El Código SITUR en acta no coincide con el registrado en el sistema,"Ir al paso 2 y cargar nuevamente las páginas del acta de asamblea, donde se refleje el código SITUR correcto."
Número de Registro de Información Fiscal (RIF) cargada en sistema no coincide con el acta,ir al paso 1 y corregir el número de RIF correspondiente a la OBPP.
Acta Incompleta,"Ir al paso 2 y cargar nuevamente el acta de asamblea ya que la misma no se cargó completa, esto con la finalidad de verificar que los datos de la misma coincidan con el proyecto registrados."
Acta no indica correos de los voceros,"Ir al paso 2 y cargar nuevamente las páginas del acta de asamblea, donde se refleje los datos de los correos electrónicos de los voceros(as) responsables del proyecto."
Imagen adjunto no corresponde al acta,"Ir al paso 2 y cargar nuevamente las dos primeras páginas del acta de asamblea, con la finalidad de verificar que los datos de la misma coincida con el proyecto registrado."
Acta no visible,"Ir al paso 2 y cargar nuevamente las dos primeras páginas del acta de asamblea ya que la misma no es legible, esto con la finalidad de verificar que los datos de la misma coincida con el proyecto registrado."
Acta no indica monto del proyecto,"Ir al paso 2 y cargar nuevamente las dos primeras páginas del acta de asamblea, ya que la misma no contiene el monto del proyecto."
Ubicación geográfica está errada,Ir al paso 2 y seleccionar nuevamente las coordenadas en el mapa ya que las cargadas están erradas.
Acta de Asamblea no refleja información de los voceros,"Ir al paso 2 y cargar nuevamente las páginas del acta de asamblea, donde se refleje los datos completos de los voceros(as) responsables del proyecto."
La foto no muestra el sitio de ejecución del proyecto,"Ir al paso 2 presione el botón de Reemplazar foto, y cargue una nueva foto que indique o muestre el lugar de ejecución del proyecto."
El Acta no indica los datos de voceros(as) responsables del proyecto,"ir al paso 2 y presione el botón de Reemplazar para sustituir el Acta cargada por el Acta ya CORREGIDA, ya que los datos registrados en el sistema deben coincidir con la información contenida en los documentos adjuntos."
Foto inicial no coincide con el proyecto,"Ir al paso 2 presione el botón de Reemplazar foto, y cargue la imagen que corresponda con el proyecto."
Acta no refleja datos de la Cuenta Bancaria,Ir al paso 2 y cargar nuevamente el acta donde aparezca reflejada la información del número cuenta bancaria donde serán depositados los recursos.
